"","true_value","reported_outbreak_bins","est_05","est_10","est_15","est_20"
"1",0.25,"10-99","2213 (55.3%)","3376 (84.4%)","3849 (96.2%)","3973 (99.3%)"
"2",0.25,"100-499","3817 (95.4%)","4000","4000","4000"
"3",0.25,"500-999","3995 (99.9%)","4000","4000","4000"
"4",0.25,"1000+","3999 (100%)","4000","4000","4000"
"5",0.5,"10-99","2110 (52.8%)","3430 (85.8%)","3860 (96.5%)","3978 (99.4%)"
"6",0.5,"100-499","2981 (74.5%)","3899 (97.5%)","3998 (100%)","4000"
"7",0.5,"500-999","3905 (97.6%)","4000","4000","4000"
"8",0.5,"1000+","4000","4000","4000","4000"
"9",0.75,"10-99","2400 (60%)","3575 (89.4%)","3835 (95.9%)","3942 (98.6%)"
"10",0.75,"100-499","3067 (76.7%)","3890 (97.2%)","3991 (99.8%)","4000"
"11",0.75,"500-999","3988 (99.7%)","4000","4000","4000"
"12",0.75,"1000+","3992 (99.8%)","4000","4000","4000"
