"","measure","true_value","10-99","100-499","500-999","1000+"
"1","bias",0.25,"-0.01 (0.07)","0 (0.04)","0 (0.02)","0 (0.01)"
"2","bias",0.5,"-0.01 (0.07)","0 (0.04)","0 (0.02)","0 (0.01)"
"3","bias",0.75,"-0.03 (0.11)","0 (0.04)",NA,"0 (0.01)"
"4","coverage",0.25,"95.8% (0.3)","93.4% (0.4)","66.6% (0.7)","92.3% (0.4)"
"5","coverage",0.5,"91.6% (0.4)","89.9% (0.5)","90.7% (0.5)","90.6% (0.5)"
"6","coverage",0.75,"90.5% (0.5)","88.9% (0.5)",NA,"87.6% (0.5)"
"7","empirical se",0.25,"0.069 (0.001)","0.035 (0)","0.02 (0)","0.011 (0)"
"8","empirical se",0.5,"0.067 (0.001)","0.042 (0)","0.021 (0)","0.009 (0)"
"9","empirical se",0.75,"0.106 (0.001)","0.042 (0)",NA,"0.01 (0)"
"10","model se",0.25,"0.063 (0)","0.032 (0)","0.014 (0)","0.009 (0)"
"11","model se",0.5,"0.055 (0)","0.035 (0)","0.017 (0)","0.008 (0)"
"12","model se",0.75,"0.091 (0.001)","0.033 (0)",NA,"0.007 (0)"
